Census District,District
North  & Middle Andaman,North and Middle Andaman
Y.S.R.,Y.S.R. Kadapa
 - ,Kamle
 - ,Kra Daadi
 - ,Lepa Rada
 - ,Lower Siang
 - ,Namsai
 - ,Pakke Kessang
 - ,Shi Yomi
Dibang Valley,Upper Dibang Valley
 - ,Biswanath
 - ,Charaideo
 - ,Hojai
 - ,Majuli
 - ,South Salmara Mankachar
 - ,West Karbi Anglong
 - ,Balod
 - ,Baloda Bazar
 - ,Bametara
 - ,Gariaband
 - ,Gaurela Pendra Marwahi
 - ,Kondagaon
 - ,Sukma
 - ,Surajpur
Central,Central Delhi
East,East Delhi
North ,North Delhi
North East,North East Delhi
North West,North West Delhi
 - ,Shahdara
South,South Delhi
 - ,South East Delhi
South West,South West Delhi
West,West Delhi
DADRA & NAGAR HAVELI,Dadra and Nagar Haveli
 - ,Aravalli
 - ,Botad
 - ,Chhota Udaipur
 - ,Devbhumi Dwarka
 - ,Gir Somnath
Kachchh,Kutch
 - ,Mahisagar
 - ,Morbi
Lahul & Spiti,Lahaul and Spiti
 - ,Charkhi Dadri
Gurgaon,Gurugram
 - ,Nuh
Bagalkot,Bagalkote
 - ,Bengaluru Urban
Chikmagalur,Chikkamagaluru
Gulbarga,Kalaburagi
 - ,Vijayapura
Leh(Ladakh),Leh
 - ,Palghar
 *,East Jaintia Hills
 - ,North Garo Hills
 - ,South West Garo Hills
 - ,South West Khasi Hills
 *,West Jaintia Hills
 - ,Jiribam
 - ,Kakching
 - ,Kamjong
 - ,Kangpokpi
 - ,Noney
 - ,Pherzawl
 - ,Tengnoupal
 - ,Agar Malwa
Khandwa (East Nimar),Khandwa
Khargone (West Nimar),Khargone
 - ,Fazilka
 - ,Pathankot
East District,East Sikkim
North  District,North Sikkim
South District,South Sikkim
West District,West Sikkim
 - ,Bhadradri Kothagudem
 - ,Jagtial
 - ,Jayashankar Bhupalapally
 - ,Jogulamba Gadwal
 - ,Kamareddy
 - ,Komaram Bheem
 - ,Mahabubabad
 - ,Mancherial
 - ,Medchal Malkajgiri
 - ,Mulugu
 - ,Nagarkurnool
 - ,Nirmal
 - ,Peddapalli
 - ,Rajanna Sircilla
 - ,Siddipet
 - ,Suryapet
 - ,Vikarabad
 - ,Wanaparthy
 *,Warangal Rural
 *,Warangal Urban
 - ,Yadadri Bhuvanagiri
 - ,Chengalpattu
 - ,Kallakurichi
 - ,Ranipet
 - ,Tenkasi
 - ,Tirupathur
 - ,Gomati
 - ,Khowai
 - ,Sipahijala
 - ,Unokoti
 - ,Amethi
Sant Ravidas Nagar (Bhadohi),Bhadohi
 - ,Hapur
Mahamaya Nagar,Hathras
 - ,Kasganj
Allahabad ,Prayagraj
 - ,Pauri Garhwal
 - ,Alipurduar
Koch Bihar ,Cooch Behar
Darjiling ,Darjeeling
Haora ,Howrah
 - ,Jhargram
 - ,Kalimpong
North Twenty Four Parganas,North 24 Parganas
 *,Paschim Bardhaman
 *,Purba Bardhaman
South Twenty Four Parganas,South 24 Parganas
