districtid,timeid,cases
AP_Anantapur,1,157296.0
AP_Chittoor,1,239802.0
AP_East Godavari,1,287150.0
AP_Foreign Evacuees,1,434.0
AP_Guntur,1,173503.0
AP_Krishna,1,114787.0
AP_Kurnool,1,123901.0
AP_Other State,1,2461.0
AP_Prakasam,1,134593.0
AP_S.P.S. Nellore,1,141685.0
AP_Srikakulam,1,122301.0
AP_Visakhapatnam,1,155494.0
AP_Vizianagaram,1,82557.0
AP_West Godavari,1,175361.0
AP_Y.S.R. Kadapa,1,113278.0
AR_Anjaw,1,1050.0
AR_Capital Complex,1,0.0
AR_Changlang,1,3763.0
AR_East Kameng,1,1089.0
AR_East Siang,1,3106.0
AR_Kamle,1,511.0
AR_Kra Daadi,1,267.0
AR_Kurung Kumey,1,515.0
AR_Lepa Rada,1,864.0
AR_Lohit,1,2772.0
AR_Longding,1,742.0
AR_Lower Dibang Valley,1,2260.0
AR_Lower Siang,1,737.0
AR_Lower Subansiri,1,2891.0
AR_Namsai,1,2023.0
AR_Pakke Kessang,1,430.0
AR_Papum Pare,1,18006.0
AR_Shi Yomi,1,237.0
AR_Siang,1,408.0
AR_Tawang,1,2403.0
AR_Tirap,1,1028.0
AR_Upper Dibang Valley,1,335.0
AR_Upper Siang,1,981.0
AR_Upper Subansiri,1,1955.0
AR_West Kameng,1,3376.0
AR_West Siang,1,1862.0
AS_Dibrugarh,1,0.0
AS_Udalguri,1,0.0
BR_Araria,1,14971.0
BR_Arwal,1,7383.0
BR_Aurangabad,1,20011.0
BR_Banka,1,7379.0
BR_Begusarai,1,27188.0
BR_Bhagalpur,1,25834.0
BR_Bhojpur,1,10193.0
BR_Buxar,1,9249.0
BR_Darbhanga,1,10926.0
BR_East Champaran,1,19010.0
BR_Gaya,1,33947.0
BR_Gopalganj,1,16679.0
BR_Jamui,1,9417.0
BR_Jehanabad,1,10805.0
BR_Kaimur,1,4986.0
BR_Katihar,1,18137.0
BR_Khagaria,1,10061.0
BR_Kishanganj,1,10114.0
BR_Lakhisarai,1,7776.0
BR_Madhepura,1,12539.0
BR_Madhubani,1,18345.0
BR_Munger,1,15104.0
BR_Muzaffarpur,1,31393.0
BR_Nalanda,1,23430.0
BR_Nawada,1,10351.0
BR_Other State,1,3.0
BR_Patna,1,146916.0
BR_Purnia,1,24424.0
BR_Rohtas,1,13972.0
BR_Saharsa,1,17616.0
BR_Samastipur,1,20012.0
BR_Saran,1,23272.0
BR_Sheikhpura,1,7693.0
BR_Sheohar,1,4399.0
BR_Sitamarhi,1,9186.0
BR_Siwan,1,15195.0
BR_Supaul,1,17215.0
BR_Vaishali,1,19822.0
BR_West Champaran,1,20889.0
CH_Chandigarh,1,65138.0
CT_Balod,1,27287.0
CT_Baloda Bazar,1,43051.0
CT_Balrampur,1,20294.0
CT_Bametara,1,19947.0
CT_Bastar,1,21019.0
CT_Bijapur,1,8301.0
CT_Bilaspur,1,65555.0
CT_Dakshin Bastar Dantewada,1,10788.0
CT_Dhamtari,1,27589.0
CT_Durg,1,96725.0
CT_Gariaband,1,19690.0
CT_Gaurela Pendra Marwahi,1,12009.0
CT_Janjgir Champa,1,57533.0
CT_Jashpur,1,27093.0
CT_Kabeerdham,1,22771.0
CT_Kondagaon,1,13104.0
CT_Korba,1,54726.0
CT_Koriya,1,26959.0
CT_Mahasamund,1,31344.0
CT_Mungeli,1,23912.0
CT_Narayanpur,1,4018.0
CT_Other State,1,778.0
CT_Raigarh,1,62525.0
CT_Raipur,1,160798.0
CT_Rajnandgaon,1,56035.0
CT_Sukma,1,8032.0
CT_Surajpur,1,29022.0
CT_Surguja,1,33805.0
