districtid,timeid,dose1,dose2
AN_Nicobars,1,0.0,0.0
AN_Nicobars,2,360.0,0.0
AN_Nicobars,3,747.0,304.0
AN_Nicobars,4,6269.0,540.0
AN_Nicobars,5,8359.0,1905.0
AN_Nicobars,6,9055.0,1907.0
AN_Nicobars,7,18615.0,6869.0
AN_Nicobars,8,22096.0,8138.0
AN_North and Middle Andaman,1,0.0,0.0
AN_North and Middle Andaman,2,1114.0,0.0
AN_North and Middle Andaman,3,2134.0,944.0
AN_North and Middle Andaman,4,19953.0,1604.0
AN_North and Middle Andaman,5,30050.0,3268.0
AN_North and Middle Andaman,6,34270.0,3292.0
AN_North and Middle Andaman,7,51481.0,25121.0
AN_North and Middle Andaman,8,68599.0,29368.0
AN_South Andaman,1,23.0,0.0
AN_South Andaman,2,1889.0,104.0
AN_South Andaman,3,8864.0,1596.0
AN_South Andaman,4,35117.0,4179.0
AN_South Andaman,5,61649.0,9957.0
AN_South Andaman,6,75186.0,10221.0
AN_South Andaman,7,109783.0,42945.0
AN_South Andaman,8,143880.0,60301.0
AP_Anantapur,1,287.0,0.0
AP_Anantapur,2,17349.0,2210.0
AP_Anantapur,3,57456.0,13837.0
AP_Anantapur,4,300216.0,33351.0
AP_Anantapur,5,445354.0,172093.0
AP_Anantapur,6,704916.0,203279.0
AP_Anantapur,7,1037280.0,330557.0
AP_Anantapur,8,1418288.0,617942.0
AP_Chittoor,1,424.0,0.0
AP_Chittoor,2,31966.0,1406.0
AP_Chittoor,3,89201.0,22827.0
AP_Chittoor,4,385140.0,52309.0
AP_Chittoor,5,525757.0,191629.0
AP_Chittoor,6,825419.0,237666.0
AP_Chittoor,7,1170308.0,328690.0
AP_Chittoor,8,1583140.0,650902.0
AP_East Godavari,1,1012.0,0.0
AP_East Godavari,2,42207.0,1461.0
AP_East Godavari,3,107977.0,26870.0
AP_East Godavari,4,385365.0,67241.0
AP_East Godavari,5,499047.0,205425.0
AP_East Godavari,6,960621.0,255143.0
AP_East Godavari,7,1444020.0,383709.0
AP_East Godavari,8,1930989.0,557803.0
AP_Guntur,1,303.0,0.0
AP_Guntur,2,25923.0,3327.0
AP_Guntur,3,80788.0,19789.0
AP_Guntur,4,340747.0,54831.0
AP_Guntur,5,499349.0,172480.0
AP_Guntur,6,881092.0,232712.0
AP_Guntur,7,1353996.0,355521.0
AP_Guntur,8,1785084.0,604975.0
AP_Krishna,1,144.0,0.0
AP_Krishna,2,26419.0,1445.0
AP_Krishna,3,78962.0,21990.0
AP_Krishna,4,363135.0,46976.0
AP_Krishna,5,498266.0,212406.0
AP_Krishna,6,941395.0,258619.0
AP_Krishna,7,1317443.0,404527.0
AP_Krishna,8,1773382.0,567407.0
AP_Kurnool,1,214.0,0.0
AP_Kurnool,2,24704.0,2433.0
AP_Kurnool,3,56487.0,16441.0
AP_Kurnool,4,292688.0,36122.0
