districtid,timeid,dose1,dose2
AN_Nicobars,15/08/2021,22081,8110
AN_North and Middle Andaman,15/08/2021,68043,29285
AN_South Andaman,15/08/2021,142805,59910
AP_Anantapur,15/08/2021,1386893,608213
AP_Chittoor,15/08/2021,1565758,640911
AP_East Godavari,15/08/2021,1927587,552579
AP_Guntur,15/08/2021,1758913,592647
AP_Krishna,15/08/2021,1758850,558595
AP_Kurnool,15/08/2021,1244590,493004
AP_Prakasam,15/08/2021,1235949,517769
AP_S.P.S. Nellore,15/08/2021,1158525,529078
AP_Srikakulam,15/08/2021,1028570,336986
AP_Visakhapatnam,15/08/2021,1882904,625093
AP_Vizianagaram,15/08/2021,921497,220104
AP_West Godavari,15/08/2021,1642936,432053
AP_Y.S.R. Kadapa,15/08/2021,1043453,395295
AR_Anjaw,15/08/2021,10935,2559
AR_Changlang,15/08/2021,75591,16913
AR_East Kameng,15/08/2021,20529,6211
AR_East Siang,15/08/2021,51321,16080
AR_Kamle,15/08/2021,6200,1545
AR_Kra Daadi,15/08/2021,5837,1741
AR_Kurung Kumey,15/08/2021,8574,2847
AR_Lepa Rada,15/08/2021,12956,4959
AR_Lohit,15/08/2021,27886,6710
AR_Longding,15/08/2021,17969,3265
AR_Lower Dibang Valley,15/08/2021,29771,8146
AR_Lower Siang,15/08/2021,15692,4567
AR_Lower Subansiri,15/08/2021,24814,8160
AR_Namsai,15/08/2021,57846,12607
AR_Pakke Kessang,15/08/2021,7668,2984
AR_Papum Pare,15/08/2021,95084,28599
AR_Shi Yomi,15/08/2021,6720,2319
AR_Siang,15/08/2021,13879,4273
AR_Tawang,15/08/2021,27681,9183
AR_Tirap,15/08/2021,29033,5636
AR_Upper Dibang Valley,15/08/2021,3915,1234
AR_Upper Siang,15/08/2021,17475,6358
AR_Upper Subansiri,15/08/2021,23117,7269
AR_West Kameng,15/08/2021,50178,13724
AR_West Siang,15/08/2021,32651,12329
AS_Baksa,15/08/2021,271137,43836
AS_Barpeta,15/08/2021,512589,134665
AS_Biswanath,15/08/2021,344314,51573
AS_Bongaigaon,15/08/2021,276314,57794
AS_Cachar,15/08/2021,495748,101674
AS_Charaideo,15/08/2021,201266,31838
AS_Chirang,15/08/2021,154175,33010
AS_Darrang,15/08/2021,287841,58503
AS_Dhemaji,15/08/2021,281206,56604
AS_Dhubri,15/08/2021,331368,74066
AS_Dibrugarh,15/08/2021,570943,141058
AS_Dima Hasao,15/08/2021,81979,21626
AS_Goalpara,15/08/2021,294268,53583
AS_Golaghat,15/08/2021,497105,90268
AS_Hailakandi,15/08/2021,239662,44619
AS_Hojai,15/08/2021,309036,69052
AS_Jorhat,15/08/2021,511752,100322
AS_Kamrup,15/08/2021,616705,145683
AS_Kamrup Metropolitan,15/08/2021,1025379,317069
AS_Karbi Anglong,15/08/2021,151082,37412
AS_Karimganj,15/08/2021,284278,60587
AS_Kokrajhar,15/08/2021,264506,51377
AS_Lakhimpur,15/08/2021,441775,76241
AS_Majuli,15/08/2021,103275,28970
AS_Morigaon,15/08/2021,354782,51555
AS_Nagaon,15/08/2021,611043,132959
AS_Nalbari,15/08/2021,266558,51355
AS_Sivasagar,15/08/2021,350843,65974
AS_Sonitpur,15/08/2021,574085,136686
AS_South Salmara Mankachar,15/08/2021,151087,8644
AS_Tinsukia,15/08/2021,402409,81947
AS_Udalguri,15/08/2021,221896,44510
AS_West Karbi Anglong,15/08/2021,74348,13144
BR_Araria,15/08/2021,571724,104177
BR_Arwal,15/08/2021,213962,28476
BR_Aurangabad,15/08/2021,541904,71382
BR_Banka,15/08/2021,490967,77842
BR_Begusarai,15/08/2021,713926,112568
BR_Bhagalpur,15/08/2021,900944,172592
BR_Bhojpur,15/08/2021,598183,99751
BR_Buxar,15/08/2021,412175,75792
BR_Darbhanga,15/08/2021,977907,186119
BR_East Champaran,15/08/2021,1195059,209622
BR_Gaya,15/08/2021,957007,204442
BR_Gopalganj,15/08/2021,538155,84699
BR_Jamui,15/08/2021,388649,59865
BR_Jehanabad,15/08/2021,282964,53225
BR_Kaimur,15/08/2021,344516,45785
BR_Katihar,15/08/2021,626463,90132
BR_Khagaria,15/08/2021,368684,56978
BR_Kishanganj,15/08/2021,337504,50334
BR_Lakhisarai,15/08/2021,221035,33930
BR_Madhepura,15/08/2021,413872,70384
BR_Madhubani,15/08/2021,949674,186818
BR_Munger,15/08/2021,386331,65326
BR_Muzaffarpur,15/08/2021,1068779,193621
BR_Nalanda,15/08/2021,770780,169946
BR_Nawada,15/08/2021,488301,84679
BR_Patna,15/08/2021,2512297,856413
BR_Purnia,15/08/2021,837269,167935
BR_Rohtas,15/08/2021,673316,110050
BR_Saharsa,15/08/2021,428507,77936
BR_Samastipur,15/08/2021,965902,176286
