districtid,timeid,dose1,dose2
AN_Nicobars,1,0.0,0.0
AN_Nicobars,2,206.0,0.0
AN_Nicobars,3,284.0,0.0
AN_Nicobars,4,343.0,0.0
AN_Nicobars,5,360.0,0.0
AN_Nicobars,6,396.0,40.0
AN_Nicobars,7,567.0,244.0
AN_Nicobars,8,648.0,250.0
AN_Nicobars,9,747.0,304.0
AN_Nicobars,10,1142.0,311.0
AN_Nicobars,11,1768.0,396.0
AN_Nicobars,12,2225.0,410.0
AN_Nicobars,13,3907.0,495.0
AN_Nicobars,14,6511.0,543.0
AN_Nicobars,15,7803.0,666.0
AN_Nicobars,16,8159.0,893.0
AN_Nicobars,17,8320.0,1644.0
AN_Nicobars,18,8359.0,1905.0
AN_Nicobars,19,8478.0,1905.0
AN_Nicobars,20,8639.0,1905.0
AN_Nicobars,21,8649.0,1906.0
AN_Nicobars,22,8719.0,1906.0
AN_Nicobars,23,9912.0,1907.0
AN_Nicobars,24,13631.0,1958.0
AN_Nicobars,25,15690.0,3467.0
AN_Nicobars,26,16123.0,5842.0
AN_Nicobars,27,18769.0,6973.0
AN_Nicobars,28,20405.0,7626.0
AN_Nicobars,29,21453.0,7912.0
AN_Nicobars,30,21918.0,7997.0
AN_North and Middle Andaman,1,0.0,0.0
AN_North and Middle Andaman,2,390.0,0.0
AN_North and Middle Andaman,3,989.0,0.0
AN_North and Middle Andaman,4,1112.0,0.0
AN_North and Middle Andaman,5,1113.0,0.0
AN_North and Middle Andaman,6,1156.0,367.0
AN_North and Middle Andaman,7,1436.0,850.0
AN_North and Middle Andaman,8,1827.0,892.0
AN_North and Middle Andaman,9,2017.0,942.0
AN_North and Middle Andaman,10,2516.0,975.0
AN_North and Middle Andaman,11,2845.0,1099.0
AN_North and Middle Andaman,12,3827.0,1171.0
AN_North and Middle Andaman,13,7104.0,1319.0
AN_North and Middle Andaman,14,22471.0,1637.0
AN_North and Middle Andaman,15,28318.0,1967.0
AN_North and Middle Andaman,16,29514.0,2347.0
AN_North and Middle Andaman,17,29790.0,2857.0
AN_North and Middle Andaman,18,30050.0,3268.0
AN_North and Middle Andaman,19,30985.0,3280.0
AN_North and Middle Andaman,20,32074.0,3282.0
AN_North and Middle Andaman,21,32431.0,3289.0
AN_North and Middle Andaman,22,33332.0,3291.0
AN_North and Middle Andaman,23,34661.0,3292.0
AN_North and Middle Andaman,24,39697.0,3444.0
AN_North and Middle Andaman,25,45238.0,6174.0
AN_North and Middle Andaman,26,46690.0,19410.0
AN_North and Middle Andaman,27,51585.0,25612.0
AN_North and Middle Andaman,28,56727.0,27399.0
AN_North and Middle Andaman,29,63113.0,28222.0
AN_North and Middle Andaman,30,63392.0,28582.0
AN_South Andaman,1,23.0,0.0
AN_South Andaman,2,324.0,0.0
AN_South Andaman,3,787.0,0.0
AN_South Andaman,4,1325.0,0.0
AN_South Andaman,5,1567.0,0.0
AN_South Andaman,6,3155.0,539.0
AN_South Andaman,7,4026.0,866.0
AN_South Andaman,8,5813.0,1068.0
AN_South Andaman,9,8629.0,1494.0
AN_South Andaman,10,9591.0,2325.0
AN_South Andaman,11,10592.0,3585.0
AN_South Andaman,12,11946.0,3642.0
AN_South Andaman,13,18852.0,3756.0
AN_South Andaman,14,38469.0,4388.0
AN_South Andaman,15,50675.0,6664.0
AN_South Andaman,16,56329.0,7848.0
AN_South Andaman,17,59529.0,9028.0
AN_South Andaman,18,61649.0,9957.0
AN_South Andaman,19,64142.0,9971.0
AN_South Andaman,20,67604.0,9979.0
AN_South Andaman,21,70891.0,10028.0
AN_South Andaman,22,73657.0,10155.0
AN_South Andaman,23,76628.0,10307.0
AN_South Andaman,24,90001.0,10899.0
AN_South Andaman,25,98402.0,15132.0
AN_South Andaman,26,103283.0,31235.0
AN_South Andaman,27,110319.0,44613.0
AN_South Andaman,28,115586.0,51452.0
AN_South Andaman,29,122853.0,55416.0
AN_South Andaman,30,129711.0,57670.0
AP_Anantapur,1,287.0,0.0
AP_Anantapur,2,4089.0,0.0
AP_Anantapur,3,7204.0,0.0
AP_Anantapur,4,12233.0,0.0
AP_Anantapur,5,15323.0,730.0
AP_Anantapur,6,23146.0,7265.0
AP_Anantapur,7,35633.0,10201.0
AP_Anantapur,8,41380.0,11804.0
AP_Anantapur,9,52987.0,13469.0
AP_Anantapur,10,89719.0,15744.0
AP_Anantapur,11,165853.0,24402.0
AP_Anantapur,12,207033.0,26656.0
AP_Anantapur,13,263617.0,30587.0
AP_Anantapur,14,300190.0,33351.0
AP_Anantapur,15,363230.0,67246.0
AP_Anantapur,16,412318.0,106208.0
AP_Anantapur,17,440745.0,160953.0
AP_Anantapur,18,445354.0,172093.0
AP_Anantapur,19,450737.0,177863.0
AP_Anantapur,20,568181.0,185025.0
AP_Anantapur,21,629153.0,193857.0
AP_Anantapur,22,679580.0,202586.0
AP_Anantapur,23,705308.0,203322.0
AP_Anantapur,24,827930.0,225004.0
AP_Anantapur,25,933045.0,253540.0
AP_Anantapur,26,952153.0,254519.0
AP_Anantapur,27,1037726.0,347843.0
AP_Anantapur,28,1067605.0,407250.0
AP_Anantapur,29,1151955.0,473425.0
AP_Anantapur,30,1259410.0,537831.0
AP_Chittoor,1,424.0,0.0
AP_Chittoor,2,5964.0,0.0
AP_Chittoor,3,11020.0,0.0
AP_Chittoor,4,22894.0,0.0
AP_Chittoor,5,30004.0,340.0
AP_Chittoor,6,38953.0,7001.0
AP_Chittoor,7,50299.0,10952.0
AP_Chittoor,8,63729.0,15495.0
AP_Chittoor,9,81483.0,21804.0
AP_Chittoor,10,134789.0,26734.0
AP_Chittoor,11,210002.0,32210.0
AP_Chittoor,12,264836.0,35749.0
AP_Chittoor,13,315329.0,45252.0
AP_Chittoor,14,385265.0,52345.0
AP_Chittoor,15,442011.0,101758.0
AP_Chittoor,16,504601.0,142012.0
AP_Chittoor,17,523405.0,181692.0
AP_Chittoor,18,525754.0,191621.0
AP_Chittoor,19,529998.0,210674.0
AP_Chittoor,20,671913.0,213887.0
AP_Chittoor,21,744513.0,232675.0
AP_Chittoor,22,796446.0,234962.0
AP_Chittoor,23,829179.0,237969.0
AP_Chittoor,24,985020.0,268015.0
AP_Chittoor,25,1091274.0,292102.0
AP_Chittoor,26,1101601.0,294607.0
AP_Chittoor,27,1190525.0,343992.0
AP_Chittoor,28,1209803.0,408027.0
AP_Chittoor,29,1289780.0,557714.0
AP_Chittoor,30,1443079.0,634094.0
