stateid,timeid,dose1,dose2
AN,1,23.0,0.0
AN,2,3363.0,104.0
AN,3,11745.0,2844.0
AN,4,61339.0,6323.0
AN,5,100058.0,15130.0
AN,6,118511.0,15420.0
AN,7,179879.0,74935.0
AN,8,234575.0,97807.0
AP,1,4216.0,0.0
AP,2,344146.0,26734.0
AP,3,918330.0,247066.0
AP,4,4007469.0,596253.0
AP,5,5487757.0,2176599.0
AP,6,9795862.0,2644037.0
AP,7,14395270.0,3996515.0
AP,8,18766558.0,6580938.0
AR,1,81.0,0.0
AR,2,14969.0,1509.0
AR,3,45148.0,12739.0
AR,4,123424.0,33314.0
AR,5,207913.0,73371.0
AR,6,341509.0,74806.0
AR,7,597991.0,126726.0
AR,8,674617.0,192731.0
AS,1,401.0,0.0
AS,2,127777.0,5169.0
AS,3,488562.0,88133.0
AS,4,1282985.0,281469.0
AS,5,2670104.0,731392.0
AS,6,4018537.0,980180.0
AS,7,7145077.0,1497952.0
AS,8,11846600.0,2520298.0
BR,1,2967.0,0.0
BR,2,472215.0,13518.0
BR,3,1144175.0,312505.0
BR,4,4774916.0,651371.0
BR,5,7303994.0,1691002.0
BR,6,10763130.0,1953681.0
BR,7,17088089.0,3004065.0
BR,8,25651427.0,4964091.0
CH,1,120.0,0.0
CH,2,7836.0,182.0
CH,3,40370.0,6424.0
CH,4,114800.0,24346.0
CH,5,212260.0,73686.0
CH,6,349204.0,76291.0
CH,7,531740.0,132606.0
CH,8,746589.0,252052.0
CT,1,1040.0,0.0
CT,2,287420.0,6821.0
CT,3,771962.0,208933.0
CT,4,4280059.0,469555.0
CT,5,5062151.0,1080634.0
CT,6,5179502.0,1171346.0
CT,7,7778039.0,1913358.0
CT,8,9455555.0,2831441.0
DL,1,892.0,0.0
DL,2,207447.0,6826.0
DL,3,513767.0,131314.0
DL,4,2065695.0,438376.0
DL,5,3544850.0,1058370.0
DL,6,4756248.0,1507473.0
DL,7,7086069.0,2188245.0
DL,8,8363190.0,3313034.0
DN,1,23.0,0.0
DN,2,4590.0,164.0
DN,3,15041.0,3527.0
DN,4,70628.0,10848.0
DN,5,94759.0,25887.0
DN,6,258254.0,26608.0
DN,7,505750.0,65425.0
DN,8,600183.0,93631.0
GA,1,50.0,0.0
GA,2,14123.0,340.0
GA,3,60810.0,12290.0
GA,4,182574.0,42392.0
GA,5,344615.0,94266.0
GA,6,592719.0,99250.0
GA,7,965882.0,200827.0
GA,8,1118736.0,337909.0
GJ,1,732.0,0.0
GJ,2,596899.0,9711.0
GJ,3,1597269.0,405859.0
GJ,4,6542120.0,979513.0
GJ,5,7978372.0,2696074.0
GJ,6,10724018.0,3380077.0
GJ,7,15071476.0,4624525.0
GJ,8,21644702.0,6844420.0
HP,1,202.0,0.0
HP,2,81911.0,2807.0
HP,3,176619.0,66430.0
HP,4,1112736.0,128855.0
HP,5,1787942.0,432827.0
HP,6,2262895.0,436628.0
HP,7,3498848.0,1001930.0
HP,8,5021594.0,1531170.0
HR,1,1864.0,0.0
HR,2,186073.0,3658.0
HR,3,488224.0,112064.0
HR,4,2657655.0,299456.0
HR,5,4019157.0,918190.0
HR,6,5919214.0,1100942.0
HR,7,8456784.0,1955708.0
HR,8,10649067.0,3269939.0
JH,1,344.0,0.0
JH,2,222983.0,5575.0
JH,3,494794.0,160525.0
JH,4,2351517.0,330232.0
JH,5,2919090.0,666084.0
JH,6,4506462.0,845237.0
JH,7,6726458.0,1459889.0
JH,8,8923172.0,2174264.0
JK,1,447.0,0.0
JK,2,148004.0,2267.0
JK,3,391553.0,71115.0
JK,4,1322027.0,222389.0
JK,5,2321690.0,533164.0
JK,6,3229615.0,589329.0
JK,7,4489337.0,947976.0
JK,8,5600986.0,1594495.0
KA,1,3565.0,0.0
KA,2,384534.0,26117.0
KA,3,940817.0,279092.0
KA,4,5123676.0,533543.0
KA,5,7372151.0,1963619.0
KA,6,11036736.0,2439987.0
KA,7,16492110.0,3846976.0
KA,8,20763820.0,6132195.0
KL,1,1681.0,0.0
KL,2,370481.0,12148.0
KL,3,1116290.0,296892.0
KL,4,5040807.0,639307.0
KL,5,6454137.0,1997343.0
KL,6,9386066.0,2360870.0
KL,7,11918604.0,4567386.0
KL,8,17884914.0,6735758.0
LA,1,9.0,0.0
LA,2,3433.0,169.0
LA,3,33686.0,2932.0
LA,4,67005.0,9963.0
LA,5,86645.0,37252.0
LA,6,157081.0,37420.0
LA,7,184757.0,62019.0
LA,8,189767.0,73506.0
LD,1,16.0,0.0
LD,2,1594.0,19.0
LD,3,3170.0,1004.0
LD,4,13529.0,2917.0
LD,5,21472.0,6810.0
LD,6,42783.0,7121.0
LD,7,48893.0,12744.0
LD,8,51757.0,18154.0
MH,1,5726.0,0.0
MH,2,711043.0,8901.0
MH,3,2201644.0,445060.0
MH,4,10658902.0,1226928.0
MH,5,15756833.0,4228651.0
MH,6,21442311.0,5332236.0
MH,7,30053289.0,8841400.0
MH,8,36976735.0,13074664.0
ML,1,102.0,0.0
ML,2,17479.0,490.0
ML,3,59541.0,12246.0
ML,4,124078.0,43455.0
ML,5,329682.0,74061.0
ML,6,469951.0,74830.0
ML,7,769669.0,116621.0
ML,8,973549.0,260246.0
MN,1,181.0,0.0
MN,2,27091.0,415.0
MN,3,71164.0,11910.0
MN,4,99881.0,48705.0
MN,5,307585.0,69727.0
MN,6,482536.0,71707.0
MN,7,901371.0,100173.0
MN,8,1176035.0,273419.0
MP,1,9435.0,0.0
MP,2,567586.0,5.0
MP,3,1196343.0,376346.0
MP,4,6392872.0,722760.0
MP,5,7473284.0,1691290.0
MP,6,12815277.0,2025207.0
MP,7,21039211.0,3988845.0
MP,8,32187427.0,6226748.0
MZ,1,12.0,0.0
MZ,2,9145.0,225.0
MZ,3,39967.0,8546.0
MZ,4,92893.0,26893.0
MZ,5,195216.0,43249.0
MZ,6,270669.0,44658.0
MZ,7,491233.0,98687.0
MZ,8,537472.0,179497.0
NL,1,94.0,0.0
NL,2,12836.0,1019.0
NL,3,40860.0,10748.0
NL,4,107176.0,30445.0
NL,5,182306.0,51784.0
NL,6,320460.0,52611.0
NL,7,541764.0,111824.0
NL,8,640922.0,171004.0
OR,1,3420.0,0.0
OR,2,373167.0,7035.0
OR,3,892546.0,288600.0
OR,4,4205256.0,586690.0
OR,5,5257596.0,1405391.0
OR,6,7631412.0,1719040.0
OR,7,11146869.0,2996719.0
OR,8,15213854.0,4544908.0
PB,1,339.0,0.0
PB,2,100270.0,1988.0
PB,3,318266.0,69063.0
PB,4,2066797.0,194556.0
PB,5,3493453.0,707219.0
PB,6,4468606.0,831195.0
PB,7,6465498.0,1537367.0
PB,8,8660796.0,2628599.0
PY,1,92.0,0.0
PY,2,6197.0,305.0
PY,3,25456.0,3838.0
PY,4,144696.0,12872.0
PY,5,183604.0,50503.0
PY,6,299122.0,53999.0
PY,7,513820.0,125903.0
PY,8,617869.0,158753.0
RJ,1,3056.0,0.0
RJ,2,594254.0,13604.0
RJ,3,2488515.0,446314.0
RJ,4,8909289.0,1281249.0
RJ,5,11771875.0,2879347.0
RJ,6,15952092.0,3228214.0
RJ,7,21438008.0,4998659.0
RJ,8,27719558.0,8717603.0
SK,1,7.0,0.0
SK,2,8849.0,157.0
SK,3,41761.0,7860.0
SK,4,135490.0,19751.0
SK,5,166562.0,59594.0
SK,6,257485.0,59850.0
SK,7,461643.0,134333.0
SK,8,501440.0,159693.0
TG,1,465.0,0.0
TG,2,250141.0,40856.0
TG,3,492178.0,212597.0
TG,4,2447626.0,354437.0
TG,5,4450013.0,1063710.0
TG,6,7151956.0,1359991.0
TG,7,10833368.0,2315139.0
TG,8,12201806.0,4193277.0
TN,1,1103.0,0.0
TN,2,180802.0,1885.0
TN,3,1053823.0,111858.0
TN,4,3530750.0,491634.0
TN,5,4592992.0,1701506.0
TN,6,8356502.0,1952597.0
TN,7,13720288.0,2998529.0
TN,8,19274184.0,4414585.0
TR,1,107.0,0.0
TR,2,67171.0,1510.0
TR,3,148573.0,54512.0
TR,4,756408.0,106053.0
TR,5,985851.0,506767.0
TR,6,1213866.0,522458.0
TR,7,2137737.0,689963.0
TR,8,2436430.0,830684.0
UP,1,2212.0,0.0
UP,2,956093.0,19814.0
UP,3,2330024.0,669333.0
UP,4,8978071.0,1559991.0
UP,5,11724458.0,3260460.0
UP,6,20343637.0,3910527.0
UP,7,33522527.0,6412146.0
UP,8,50357384.0,9361750.0
UT,1,511.0,0.0
UT,2,123162.0,3042.0
UT,3,279121.0,92789.0
UT,4,1291512.0,227717.0
UT,5,1982530.0,680556.0
UT,6,2725505.0,719149.0
UT,7,4014316.0,1130904.0
UT,8,5581275.0,1748225.0
WB,1,1811.0,0.0
WB,2,428674.0,5017.0
WB,3,1757774.0,318510.0
WB,4,5976751.0,919460.0
WB,5,7176792.0,2958797.0
WB,6,11129680.0,3296480.0
WB,7,14410710.0,5781122.0
WB,8,19577225.0,7577691.0
