stateid,timeid,dose1,dose2
AN,15/08/2021,232929,97305
AP,15/08/2021,18556425,6502327
AR,15/08/2021,673322,190218
AS,15/08/2021,11554754,2468204
BR,15/08/2021,25253825,4877489
CH,15/08/2021,738600,247413
CT,15/08/2021,9386828,2779393
DL,15/08/2021,8253115,3266946
DN,15/08/2021,598496,91013
GA,15/08/2021,1114583,332742
GJ,15/08/2021,21281696,6768032
HP,15/08/2021,4956151,1514320
HR,15/08/2021,10542178,3215771
JH,15/08/2021,8825717,2144130
JK,15/08/2021,5558724,1577137
KA,15/08/2021,20475474,6030438
KL,15/08/2021,17583743,6687807
LA,15/08/2021,189535,72832
LD,15/08/2021,51679,17892
MH,15/08/2021,36542493,12875286
ML,15/08/2021,969057,257426
MN,15/08/2021,1174116,266494
MP,15/08/2021,31705912,6099607
MZ,15/08/2021,536482,177300
NL,15/08/2021,639478,168024
OR,15/08/2021,15032444,4479696
PB,15/08/2021,8525700,2565899
PY,15/08/2021,616708,157722
RJ,15/08/2021,27363336,8570970
SK,15/08/2021,500829,158042
TG,15/08/2021,12076465,4154707
TN,15/08/2021,19052089,4366295
TR,15/08/2021,2434661,826885
UP,15/08/2021,48253669,9185351
UT,15/08/2021,5502376,1724263
WB,15/08/2021,19376891,7526742
