stateid,timeid,dose1,dose2
AN,1,23.0,0.0
AN,2,920.0,0.0
AN,3,2060.0,0.0
AN,4,2780.0,0.0
AN,5,3040.0,0.0
AN,6,4707.0,946.0
AN,7,6029.0,1960.0
AN,8,8288.0,2210.0
AN,9,11393.0,2740.0
AN,10,13249.0,3611.0
AN,11,15205.0,5080.0
AN,12,17998.0,5223.0
AN,13,29863.0,5570.0
AN,14,67451.0,6568.0
AN,15,86796.0,9297.0
AN,16,94002.0,11088.0
AN,17,97639.0,13529.0
AN,18,100058.0,15130.0
AN,19,103605.0,15156.0
AN,20,108317.0,15166.0
AN,21,111971.0,15223.0
AN,22,115708.0,15352.0
AN,23,121201.0,15506.0
AN,24,143329.0,16301.0
AN,25,159330.0,24773.0
AN,26,166096.0,56487.0
AN,27,180673.0,77198.0
AN,28,192718.0,86477.0
AN,29,207419.0,91550.0
AN,30,215021.0,94249.0
AP,1,4216.0,0.0
AP,2,70380.0,0.0
AP,3,133571.0,0.0
AP,4,245938.0,0.0
AP,5,313507.0,6233.0
AP,6,413818.0,87470.0
AP,7,535955.0,137812.0
AP,8,653058.0,183119.0
AP,9,848663.0,237312.0
AP,10,1294501.0,299229.0
AP,11,1962435.0,372957.0
AP,12,2566814.0,420023.0
AP,13,3281351.0,521886.0
AP,14,4009940.0,597920.0
AP,15,4543318.0,1126549.0
AP,16,5174960.0,1519337.0
AP,17,5436592.0,1974208.0
AP,18,5484714.0,2167213.0
AP,19,5564360.0,2347996.0
AP,20,7274735.0,2481535.0
AP,21,8231348.0,2572474.0
AP,22,9257127.0,2620002.0
AP,23,9850955.0,2652278.0
AP,24,11920947.0,2906599.0
AP,25,13172868.0,3268414.0
AP,26,13472620.0,3473097.0
AP,27,14507747.0,4117981.0
AP,28,14910329.0,4655260.0
AP,29,16096801.0,5572592.0
AP,30,17477123.0,6140096.0
AR,1,81.0,0.0
AR,2,2382.0,0.0
AR,3,6315.0,0.0
AR,4,8957.0,0.0
AR,5,12801.0,456.0
AR,6,18985.0,4007.0
AR,7,24461.0,6672.0
AR,8,34327.0,9217.0
AR,9,42851.0,12018.0
AR,10,52386.0,15599.0
AR,11,63366.0,18866.0
AR,12,73289.0,21020.0
