state/ut,age-group,percentage
ANDAMAN & NICOBAR ISLANDS,30-49,37.24486989052099
ANDHRA PRADESH,30-49,29.74339793227892
ARUNACHAL PRADESH,30-49,28.33633177318893
ASSAM,30-49,35.54129962639836
BIHAR,30-49,26.847112634704487
CHANDIGARH,30-49,30.408194323232262
CHHATTISGARH,30-49,34.395566167892106
DADRA & NAGAR HAVELI,30-49,30.196040046982493
DAMAN & DIU,30-49,35.093347205363855
GOA,30-49,37.8028165973917
GUJARAT,30-49,31.24844307339616
HARYANA,30-49,29.07162401938883
HIMACHAL PRADESH,30-49,32.47957015255438
INDIA,30-49,31.934679834502155
JAMMU & KASHMIR,30-49,28.99242445926477
JHARKHAND,30-49,30.70332866929184
KARNATAKA,30-49,34.054405896532096
KERALA,30-49,34.16173980725743
LAKSHADWEEP,30-49,37.13054804127843
MADHYA PRADESH,30-49,30.043093819880394
MAHARASHTRA,30-49,32.108365088311224
MANIPUR,30-49,35.12802804068623
MEGHALAYA,30-49,34.215494069421055
MIZORAM,30-49,38.12256919533286
NAGALAND,30-49,30.097249949300533
NCT OF DELHI,30-49,34.56726496852897
ODISHA,30-49,33.69591539104458
PUDUCHERRY,30-49,36.807367613200306
PUNJAB,30-49,29.667187872968704
RAJASTHAN,30-49,26.88787992264224
SIKKIM,30-49,29.69206513709882
TAMIL NADU,30-49,34.98017908901042
TRIPURA,30-49,35.8274120366407
UTTAR PRADESH,30-49,26.250317133239275
UTTARAKHAND,30-49,29.289966031668282
WEST BENGAL,30-49,35.40226414046487
