state/ut,male-percentage,female-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,29.818456063212583,35.261380901468684,8.001609140208555e-17
ANDHRA PRADESH,71.26914364792016,77.71797095164293,8.001609140208555e-17
ARUNACHAL PRADESH,32.98711886058786,39.15752857132193,8.001609140208555e-17
ASSAM,49.93925446453807,57.54532598399346,8.001609140208555e-17
BIHAR,82.60166608088775,85.31091975830817,8.001609140208555e-17
CHANDIGARH,44.39149730566611,45.86583036182541,8.001609140208555e-17
CHHATTISGARH,85.81285828334137,87.70008864640813,8.001609140208555e-17
DADRA & NAGAR HAVELI,41.57153179190752,42.79921840092298,8.001609140208555e-17
DAMAN & DIU,52.58847246525306,51.18778645665225,8.001609140208555e-17
GOA,20.531428416808723,25.109222204460632,8.001609140208555e-17
GUJARAT,52.178026538156935,62.57966925462491,8.001609140208555e-17
HARYANA,75.85987986128515,80.01374409533558,8.001609140208555e-17
HIMACHAL PRADESH,80.3563771567774,83.48259644801578,8.001609140208555e-17
India,71.65011794931502,76.46426421106435,8.001609140208555e-17
JAMMU & KASHMIR,45.26420709260613,56.81195599121451,8.001609140208555e-17
JHARKHAND,67.66620113092993,71.81120300334685,8.001609140208555e-17
KARNATAKA,57.9131677016347,62.76065232283966,8.001609140208555e-17
KERALA,73.21389130072903,77.72975908541568,8.001609140208555e-17
LAKSHADWEEP,65.7700087552456,76.98564593301435,8.001609140208555e-17
MADHYA PRADESH,85.44439418311656,87.62232038535575,8.001609140208555e-17
MAHARASHTRA,44.997805403617555,53.104926750573426,8.001609140208555e-17
MANIPUR,47.15039629191442,55.66402391180405,8.001609140208555e-17
MEGHALAYA,70.4336681342135,74.15421912509144,8.001609140208555e-17
MIZORAM,68.6382551918738,74.9866664698164,8.001609140208555e-17
NAGALAND,35.40236705447426,40.470491784373486,8.001609140208555e-17
NCT OF DELHI,57.8021538330756,61.22413425095329,8.001609140208555e-17
ODISHA,62.919349564796306,71.29658769289131,8.001609140208555e-17
PUDUCHERRY,65.13009562277249,71.87626880187334,8.001609140208555e-17
PUNJAB,50.24283332758404,56.11189913089054,8.001609140208555e-17
RAJASTHAN,87.6517668407443,90.65604483256882,8.001609140208555e-17
SIKKIM,33.964775435664095,38.90270497761794,8.001609140208555e-17
TAMIL NADU,69.55855716874008,73.85282951746443,8.001609140208555e-17
TRIPURA,61.93405165238992,69.15313404918254,8.001609140208555e-17
UTTAR PRADESH,87.26086903672274,89.96798876127744,8.001609140208555e-17
UTTARAKHAND,80.87182909793796,84.33886987197583,8.001609140208555e-17
WEST BENGAL,81.23793942565821,85.9592559782642,8.001609140208555e-17
