state/ut,male-percentage,female-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,20.62690083846385,17.366495976591075,6.568952655863907e-11
ANDHRA PRADESH,9.039085818139355,5.951769054860847,6.568952655863907e-11
ARUNACHAL PRADESH,33.150584385750626,27.154512813239478,6.568952655863907e-11
ASSAM,16.53939224852462,11.241943195437901,6.568952655863907e-11
BIHAR,1.894822994819076,1.3128863872366223,6.568952655863907e-11
CHANDIGARH,30.75053860845275,30.207651009821245,6.568952655863907e-11
CHHATTISGARH,1.9103249890223524,1.3956479797563037,6.568952655863907e-11
DADRA & NAGAR HAVELI,22.840627580511974,18.179514368218527,6.568952655863907e-11
DAMAN & DIU,14.541486749921823,13.713338927979688,6.568952655863907e-11
GOA,53.48404902995373,48.08515370340768,6.568952655863907e-11
GUJARAT,16.45301585265245,11.708091823418968,6.568952655863907e-11
HARYANA,5.048102467229069,4.127133556576486,6.568952655863907e-11
HIMACHAL PRADESH,5.757763134956387,4.339927910275994,6.568952655863907e-11
India,8.108333640396491,6.037043996033532,6.568952655863907e-11
JAMMU & KASHMIR,18.955278856234514,14.192765530518724,6.568952655863907e-11
JHARKHAND,5.705505184044124,3.905131823941969,6.568952655863907e-11
KARNATAKA,14.593422208926201,10.996294555612202,6.568952655863907e-11
KERALA,10.819320049924467,8.370938385371613,6.568952655863907e-11
LAKSHADWEEP,19.427588080789782,11.311004784688995,6.568952655863907e-11
MADHYA PRADESH,2.0156434971043784,1.4274742097581679,6.568952655863907e-11
MAHARASHTRA,19.668401328391834,15.276290267454803,6.568952655863907e-11
MANIPUR,24.763552543956358,18.386362481724632,6.568952655863907e-11
MEGHALAYA,10.775274963936958,7.740853404309122,6.568952655863907e-11
MIZORAM,6.250956622891604,3.3683542271442994,6.568952655863907e-11
NAGALAND,29.92175857293571,24.20582626463407,6.568952655863907e-11
NCT OF DELHI,8.25065208494718,7.906043305559882,6.568952655863907e-11
ODISHA,15.83626938842934,10.43280245208549,6.568952655863907e-11
PUDUCHERRY,6.662574223156809,4.855832633033384,6.568952655863907e-11
PUNJAB,29.945363440535566,26.298118121260792,6.568952655863907e-11
RAJASTHAN,1.8082249563915183,1.1028400991107188,6.568952655863907e-11
SIKKIM,30.775683288451418,28.512349264539647,6.568952655863907e-11
TAMIL NADU,3.902244107479736,2.879750662715253,6.568952655863907e-11
TRIPURA,6.889919631920169,3.858428343672081,6.568952655863907e-11
UTTAR PRADESH,1.48065222882239,1.0895322046211406,6.568952655863907e-11
UTTARAKHAND,2.1318380551262193,1.5821501342118722,6.568952655863907e-11
WEST BENGAL,3.82267078527396,2.454961746089602,6.568952655863907e-11
