state/ut,urban-percentage,rural-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,26.94511039250669,35.637070685342884,0.08991980529245953
ANDHRA PRADESH,62.00831529736534,80.72728179855179,0.1410917303784433
ARUNACHAL PRADESH,28.385885199877745,38.23237599380321,0.024505621657209396
ASSAM,39.09952434238436,56.04937868172958,0.1268675112666043
BIHAR,75.91831819245697,84.91440289059399,0.03767373973309515
CHANDIGARH,44.644939544589704,59.56331275223345,1.2043098636171558e-07
CHHATTISGARH,78.28262540302838,89.31652811834948,0.09322485552730399
DADRA & NAGAR HAVELI,44.798405927955415,39.74682438262503,0.19471103247327232
DAMAN & DIU,51.9663551197423,52.316378568117095,2.9496652558107835e-06
GOA,21.338885372303473,25.173318156855423,0.00098168571376046
GUJARAT,43.89607910761057,67.00253921293651,0.2142164724751202
HARYANA,67.54370538321031,83.29709833071048,0.053738348576976847
HIMACHAL PRADESH,62.06720770544563,84.10767399875324,0.03509237562056987
India,59.60095185407026,80.49274855253414,0.10992004170591564
JAMMU & KASHMIR,41.281389427252726,54.246700175449,0.05000580958430287
JHARKHAND,62.027658680552186,72.10803975705838,0.052503069139454676
KARNATAKA,42.81654224280899,71.33001693251295,0.26435567153923983
KERALA,72.70200062428906,78.17273462771594,0.17098075985544767
LAKSHADWEEP,70.1064928872288,75.19977370765858,2.775597679278399e-05
MADHYA PRADESH,77.68081814084672,89.85993486284063,0.07035837567946408
MAHARASHTRA,34.98165098493437,60.39599926402064,0.32769081565728514
MANIPUR,48.36181328627568,52.61876496309927,0.04537530016331179
MEGHALAYA,41.45234696448065,80.02487097496498,0.1452462460849492
MIZORAM,67.38309567991381,76.55104817912778,0.408231063240507
NAGALAND,25.70853605994052,42.769208034465905,0.12292464938661084
NCT OF DELHI,58.95569396573343,76.44317276072566,3.198998314055434e-05
ODISHA,45.83356178544463,71.31475038919878,0.12803519464644791
PUDUCHERRY,63.493414857526155,79.50885627530364,0.7168446989671537
PUNJAB,42.76410774500137,59.16108401014011,0.06368183789461497
RAJASTHAN,81.07611500059977,91.7534039378993,0.03306273048623365
SIKKIM,25.269895427730535,39.993304142897465,0.05925533408300897
TAMIL NADU,64.70000950814264,78.26885281304467,0.28324005354273807
TRIPURA,71.93206532196582,63.17956662281969,0.11580454580965542
UTTAR PRADESH,73.13025042800815,92.97058438018725,0.06654337511434928
UTTARAKHAND,69.74671223721346,88.13078783803333,0.09439418665516687
WEST BENGAL,72.30515778330472,88.79344139621958,0.217201642035013
