state/ut,urban-percentage,rural-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,24.09400089206066,16.084827472763852,0.08991980529245953
ANDHRA PRADESH,14.114084178875459,4.189923150298052,0.1410917303784433
ARUNACHAL PRADESH,39.71307846702104,27.43112538190739,0.024505621657209396
ASSAM,31.44505611177522,11.076842742095227,0.1268675112666043
BIHAR,3.571146696857701,1.3673991381290627,0.03767373973309515
CHANDIGARH,30.943856500844163,15.01500465661757,1.2043098636171558e-07
CHHATTISGARH,3.791763744650921,1.006953247204031,0.09322485552730399
DADRA & NAGAR HAVELI,19.8374793735795,21.65754666491912,0.19471103247327232
DAMAN & DIU,14.652914121333763,12.929664216173256,2.9496652558107835e-06
GOA,52.87390798995163,47.44721612524944,0.00098168571376046
GUJARAT,21.515887130758134,8.737057679479829,0.2142164724751202
HARYANA,6.871713663593378,3.4099870261468057,0.053738348576976847
HIMACHAL PRADESH,9.653446653266565,4.546870572615183,0.03509237562056987
India,13.424759674746731,4.243962545210197,0.10992004170591564
JAMMU & KASHMIR,24.39373629939282,13.819891392898159,0.05000580958430287
JHARKHAND,8.330164106893921,3.720611789875847,0.052503069139454676
KARNATAKA,24.481297311830097,5.466301977336935,0.26435567153923983
KERALA,11.474606157568601,7.786231403970034,0.17098075985544767
LAKSHADWEEP,15.842803782881665,14.192772788345945,2.775597679278399e-05
MADHYA PRADESH,3.464053867067808,1.0707111789615789,0.07035837567946408
MAHARASHTRA,26.863875836439025,9.865760769603337,0.32769081565728514
MANIPUR,28.859778889749375,18.602866979284144,0.04537530016331179
MEGHALAYA,25.464438659837096,5.199501231109044,0.1452462460849492
MIZORAM,6.09492261762139,3.4480002283821976,0.408231063240507
NAGALAND,40.50941737336374,21.753333484898434,0.12292464938661084
NCT OF DELHI,8.264202742041478,1.3063129710148387,3.198998314055434e-05
ODISHA,30.901189321691415,9.611126638456653,0.12803519464644791
PUDUCHERRY,7.814220530446683,1.2725202429149798,0.7168446989671537
PUNJAB,34.60902462567599,24.393583742615395,0.06368183789461497
RAJASTHAN,2.33013854635286,1.1835006486945954,0.03306273048623365
SIKKIM,41.168656969097135,25.85913754734693,0.05925533408300897
TAMIL NADU,5.379815931523044,1.5274651157855887,0.28324005354273807
TRIPURA,9.059621219133957,4.109658229565443,0.11580454580965542
UTTAR PRADESH,2.9617128534012864,0.8162955315248314,0.06654337511434928
UTTARAKHAND,3.843817904082788,1.0034313141737177,0.09439418665516687
WEST BENGAL,7.620148652930351,1.067934633635984,0.217201642035013
