state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
ANDAMAN & NICOBAR ISLANDS,Literate,0.9840128088706208,Literate,0.9752122351111399
ANDHRA PRADESH,Literate,0.9639201727043866,Literate,0.9375927534116908
ARUNACHAL PRADESH,Literate,0.8970954847760134,Literate,0.8519009264095445
ASSAM,Literate,0.9214630273562779,Literate,0.8953607076057126
BIHAR,Literate,0.9168292860789032,Literate,0.8554235839638463
CHANDIGARH,Literate,0.9927250121809842,Literate,0.9869754988774386
CHHATTISGARH,Literate,0.8796451152355701,Literate,0.831680936089145
DADRA & NAGAR HAVELI,Literate,0.9159661966738973,Literate,0.8633528980190756
DAMAN & DIU,Literate,0.986822840409956,Literate,0.9723834928605053
GOA,Literate,0.9717749075437239,Literate,0.9563000286187548
GUJARAT,Literate,0.9805462452969952,Literate,0.9721990529633031
HARYANA,Literate,0.9841389373308203,Literate,0.9809887951804767
HIMACHAL PRADESH,Literate,0.9873003521583416,Literate,0.9845580622309411
INDIA,Literate,0.9625958944161755,Literate,0.943912634002869
JAMMU & KASHMIR,Literate,0.9501110620326735,Literate,0.9164322287286379
JHARKHAND,Literate,0.9002194707855398,Literate,0.8262228523040956
KARNATAKA,Literate,0.9481628511903379,Literate,0.9136338474039204
KERALA,Literate,0.9939679030158755,Literate,0.9913366915139034
LAKSHADWEEP,Literate,0.9914529914529915,Literate,0.990975747320925
MADHYA PRADESH,Literate,0.9669858731352142,Literate,0.9495161287095631
MAHARASHTRA,Literate,0.9622835467887066,Literate,0.9466215259398947
MANIPUR,Literate,0.9550337548597173,Literate,0.9335080764315566
MEGHALAYA,Literate,0.9267304928802046,Literate,0.9208018777040164
MIZORAM,Literate,0.9685717577922452,Literate,0.9639491562568485
NAGALAND,Literate,0.9511665302208465,Literate,0.9489492741069263
NCT OF DELHI,Literate,0.9918342631889124,Literate,0.9877853807238293
ODISHA,Literate,0.9644005690621994,Literate,0.9427206083652999
PUDUCHERRY,Literate,0.9914234605111617,Literate,0.9886569872958257
PUNJAB,Literate,0.9833228440538788,Literate,0.9807450337659805
RAJASTHAN,Literate,0.9763363314780303,Literate,0.9534361612381117
SIKKIM,Literate,0.9682983495428807,Literate,0.9598902104300091
TAMIL NADU,Literate,0.9690545684559265,Literate,0.9456841126704604
TRIPURA,Literate,0.9728595432969653,Literate,0.9530633407264453
UTTAR PRADESH,Literate,0.9746016950302943,Literate,0.9511577775830845
UTTARAKHAND,Literate,0.9812652356910042,Literate,0.9652587076750156
WEST BENGAL,Literate,0.9646291540806603,Literate,0.9452800806119177
