state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
ANDAMAN & NICOBAR ISLANDS,Literate,0.8997035769705168,Literate,0.8454000118786007
ANDHRA PRADESH,Literate,0.829389981107039,Literate,0.7015439416811938
ARUNACHAL PRADESH,Literate,0.6918844908106409,Literate,0.565374234977642
ASSAM,Literate,0.7349709916515023,Literate,0.6364318232805741
BIHAR,Literate,0.7623397211177158,Literate,0.6140360880904859
CHANDIGARH,Literate,0.9416659161291664,Literate,0.8933098591549296
CHHATTISGARH,Literate,0.8091364423718368,Literate,0.6939696995274073
DADRA & NAGAR HAVELI,Literate,0.8254368791240664,Literate,0.6511826633852885
DAMAN & DIU,Literate,0.9552465387418023,Literate,0.912362443674708
GOA,Literate,0.9058637315033687,Literate,0.8434720832188176
GUJARAT,Literate,0.9455227929802965,Literate,0.898188032442643
HARYANA,Literate,0.9376913752703852,Literate,0.8825536210102995
HIMACHAL PRADESH,Literate,0.9302257760275333,Literate,0.874377019452287
INDIA,Literate,0.8734832291849232,Literate,0.7818985631723527
JAMMU & KASHMIR,Literate,0.8819808228990561,Literate,0.7945703653091606
JHARKHAND,Literate,0.7971753587974413,Literate,0.6382263342793698
KARNATAKA,Literate,0.8325722151944082,Literate,0.7180622701704572
KERALA,Literate,0.981906658804414,Literate,0.9723259384867219
LAKSHADWEEP,Literate,0.9789924535998369,Literate,0.9871899700190788
MADHYA PRADESH,Literate,0.825200691434812,Literate,0.717076230517245
MAHARASHTRA,Literate,0.912453914654116,Literate,0.8418763037409445
MANIPUR,Literate,0.8701694378307205,Literate,0.8041276919730259
MEGHALAYA,Literate,0.8675030588839622,Literate,0.8597982460738866
MIZORAM,Literate,0.94470419505199,Literate,0.9249959501052972
NAGALAND,Literate,0.8399210821095056,Literate,0.8097947384666524
NCT OF DELHI,Literate,0.9608655678814269,Literate,0.9319536751111694
ODISHA,Literate,0.8234778770664837,Literate,0.688352723799672
PUDUCHERRY,Literate,0.9861205165158908,Literate,0.9729327579909911
PUNJAB,Literate,0.9339819235110893,Literate,0.9030221230741065
RAJASTHAN,Literate,0.9010130026650099,Literate,0.779513686507509
SIKKIM,Literate,0.8629919324396689,Literate,0.7542803466974083
TAMIL NADU,Literate,0.9302465954360717,Literate,0.8662914229938062
TRIPURA,Literate,0.9017225800710525,Literate,0.8076669659108692
UTTAR PRADESH,Literate,0.8953503536027971,Literate,0.8145857333740448
UTTARAKHAND,Literate,0.8837446592146655,Literate,0.7952263596578734
WEST BENGAL,Literate,0.8627425520696962,Literate,0.7533811089587061
