state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
ANDAMAN & NICOBAR ISLANDS,Literate,0.5414014844692774,Illiterate,0.5429998563745752
ANDHRA PRADESH,Literate,0.5825664270289024,Illiterate,0.5381129648341373
ARUNACHAL PRADESH,Illiterate,0.7439691888288273,Illiterate,0.8337139654495335
ASSAM,Literate,0.5291886132718696,Illiterate,0.5401078162574933
BIHAR,Literate,0.5408757849005308,Illiterate,0.6177930242814597
CHANDIGARH,Literate,0.5903322794017807,Illiterate,0.5542993594011894
CHHATTISGARH,Literate,0.6644837387809276,Illiterate,0.5100322450122216
DADRA & NAGAR HAVELI,Literate,0.5594855305466238,Illiterate,0.7028218832291943
DAMAN & DIU,Literate,0.7070001644716033,Illiterate,0.545894024423566
GOA,Illiterate,0.6199359498141754,Illiterate,0.6888898730603364
GUJARAT,Literate,0.5510189624598287,Illiterate,0.5783838369452843
HARYANA,Literate,0.6552409576589595,Illiterate,0.5082381048954085
HIMACHAL PRADESH,Literate,0.7523141405343351,Literate,0.6311714984826433
INDIA,Literate,0.6178570634030036,Illiterate,0.5214752808200608
JAMMU & KASHMIR,Illiterate,0.6762735112911752,Illiterate,0.7984508403114428
JHARKHAND,Literate,0.5603192569618581,Illiterate,0.6150719349999432
KARNATAKA,Literate,0.6209116520495521,Illiterate,0.5010576748098557
KERALA,Literate,0.8069123386396043,Literate,0.7876667982886477
LAKSHADWEEP,Literate,0.7731466605462474,Literate,0.7206960845245494
MADHYA PRADESH,Literate,0.6394101153828908,Illiterate,0.52892369490478
MAHARASHTRA,Literate,0.5897543037939763,Illiterate,0.510908975479517
MANIPUR,Literate,0.5131173715426383,Illiterate,0.5821327840278878
MEGHALAYA,Illiterate,0.5034794128395663,Illiterate,0.5096336955816192
MIZORAM,Literate,0.7166445858201613,Literate,0.6978647791931641
NAGALAND,Illiterate,0.6308559614059269,Illiterate,0.6722344694310531
NCT OF DELHI,Literate,0.6791029146457619,Literate,0.5631543979836926
ODISHA,Literate,0.6098320028759519,Illiterate,0.5271288476878744
PUDUCHERRY,Literate,0.7182832032767735,Literate,0.6252528835290717
PUNJAB,Illiterate,0.5355095834530885,Illiterate,0.6178445257555184
RAJASTHAN,Literate,0.6317052520360577,Illiterate,0.5948365480524382
SIKKIM,Literate,0.5166135058780643,Illiterate,0.6036406551748802
TAMIL NADU,Literate,0.7062162097435921,Literate,0.5850351207161574
TRIPURA,Literate,0.7311747928505776,Literate,0.679005559935039
UTTAR PRADESH,Literate,0.6163755682602114,Illiterate,0.5542600316194368
UTTARAKHAND,Literate,0.7182931645668327,Literate,0.57209121785541
WEST BENGAL,Literate,0.6852976865800754,Literate,0.5966537721821855
