state/ut,literacy-group,percentage
ANDAMAN & NICOBAR ISLANDS,Literate,98.02772734774716
ANDHRA PRADESH,Literate,95.35126858811647
ARUNACHAL PRADESH,Literate,87.74557939175871
ASSAM,Literate,91.11707601406732
BIHAR,Literate,89.29579239402534
CHANDIGARH,Literate,99.01639547920827
CHHATTISGARH,Literate,85.95069680927848
DADRA & NAGAR HAVELI,Literate,89.59114044409642
DAMAN & DIU,Literate,98.15039593087104
GOA,Literate,96.45530719097091
GUJARAT,Literate,97.72452733896026
HARYANA,Literate,98.28220586363408
HIMACHAL PRADESH,Literate,98.6141105601723
INDIA,Literate,95.4890397092975
JAMMU & KASHMIR,Literate,93.66559807653776
JHARKHAND,Literate,87.10916681889144
KARNATAKA,Literate,93.35568911084074
KERALA,Literate,99.27675282307241
LAKSHADWEEP,Literate,99.12834385332131
MADHYA PRADESH,Literate,96.00446121595958
MAHARASHTRA,Literate,95.57175158147926
MANIPUR,Literate,94.59402935711992
MEGHALAYA,Literate,92.42682709479833
MIZORAM,Literate,96.69788165993279
NAGALAND,Literate,95.02140540781907
NCT OF DELHI,Literate,98.99958254585185
ODISHA,Literate,95.5901404418022
PUDUCHERRY,Literate,99.02323309844415
PUNJAB,Literate,98.21883078394357
RAJASTHAN,Literate,96.80586361473691
SIKKIM,Literate,96.44987376103902
TAMIL NADU,Literate,95.91514745850603
TRIPURA,Literate,96.59376463538074
UTTAR PRADESH,Literate,96.5184184797406
UTTARAKHAND,Literate,97.45929656802717
WEST BENGAL,Literate,95.72975402680662
